video_fname, participant, experiment, tstart, timebin, playlist, valid, annotator1, annotator2
Codes for participants: 1: Ayse 2: Buse 3: Esra 4: Gokhan 5: Merve,,,,,,,,
Codes for experiments: 1: slide show 2: game (wisconsin card sorting) 3: video book,,,,,,,,
Tstart is in min from the beginning of the webcam video,,,,,,,,
Codes for time bin in analysis: 1: 5 10 2: 25 30 40 3: 50 60 70 4: 80 85 90 5: 100 105 110,,,,,,,,
Codes for video validity: 1: valid 0: invalid (talking eating etc),,,,,,,,
Codes for annotators: Annotator1: Ayse Annotator2: Gokhan,,,,,,,,
,,,,,,,,
actase,5,3,25,2,1,1,4,5
adesso,5,2,90,4,1,1,3,3
agerma,2,1,30,2,1,1,5,5
agoade,2,3,105,5,1,1,2,2
aiderm,4,2,25,2,1,1,1,1
aillyt,2,2,30,2,1,1,4,4
alsint,5,1,50,3,1,1,5,3
alvint,2,3,10,1,1,1,3,1
amathy,1,3,15,1,1,1,3,2
ancela,1,3,90,4,1,1,3,2
anscro,2,1,5,1,1,1,5,5
apassi,1,1,100,5,1,1,2,2
aperie,4,1,5,1,1,1,2,3
arinds,3,1,50,3,1,1,4,3
aronso,3,2,40,2,1,1,2,2
assssi,2,1,105,5,1,1,5,5
ateezs,2,1,25,2,1,1,4,3
aterro,1,3,30,2,1,1,1,2
aterst,4,3,105,5,1,1,1,3
atinsa,1,3,110,5,2,1,3,4
ationt,3,2,100,5,2,1,3,3
atruer,3,1,30,2,2,1,5,5
attest,5,3,100,5,2,1,4,4
avuoul,4,2,50,3,2,1,1,1
bbarre,3,2,50,3,2,1,2,2
bbysta,5,2,110,5,2,1,3,3
blecot,4,1,10,1,2,1,3,3
bleddi,4,2,80,4,2,1,1,2
bleste,1,2,80,4,2,1,2,3
bogoat,2,1,10,1,2,1,5,4
bronai,2,2,40,2,2,1,4,2
cesply,5,3,105,5,2,1,1,2
chshel,5,3,110,5,2,1,3,4
cingsh,4,2,70,3,2,1,1,2
comyra,2,3,60,3,2,1,3,3
contio,2,2,105,5,2,1,4,4
ddross,4,1,80,4,2,1,5,4
debate,1,2,25,2,2,1,2,2
dedshm,2,1,100,5,3,1,5,5
dentsl,4,2,110,5,3,1,1,3
derepu,4,3,100,5,3,1,2,4
derica,3,3,110,5,3,1,2,3
determ,3,2,15,1,3,1,1,1
diders,5,2,30,2,3,1,1,3
distor,3,3,80,4,3,1,1,3
eazera,3,1,100,5,3,1,5,4
echrof,4,2,105,5,3,1,1,3
eckenn,1,1,60,3,3,1,1,2
eculab,1,3,50,3,3,1,2,3
edrail,4,2,60,3,3,1,1,3
edstra,2,3,100,5,3,1,3,4
egaces,2,2,80,4,3,1,3,3
eggets,3,1,60,3,3,1,3,3
ekidaq,2,1,80,4,3,1,4,4
elblus,3,2,105,5,3,1,2,3
elludg,3,1,85,4,3,1,5,5
empowd,3,3,60,3,3,1,2,3
enclog,2,3,110,5,4,1,3,3
enesqu,3,1,25,2,4,1,5,4
eonsfe,3,1,40,2,4,1,5,3
eratin,4,1,110,5,4,1,4,4
ernain,4,2,90,4,4,1,1,2
ernamp,5,3,5,1,4,1,1,2
ersans,5,2,100,5,4,1,1,3
ershow,2,1,60,3,4,1,5,5
esidna,3,2,10,1,4,1,1,2
essups,5,1,10,1,4,1,3,4
exhora,5,1,60,3,4,1,5,5
faysms,1,2,105,5,4,1,3,2
fledir,1,2,70,3,4,1,3,2
flitio,5,1,5,1,4,0,4,3
flussi,2,3,25,2,4,1,4,2
ggessa,2,1,85,4,4,1,5,4
ggorso,2,3,5,1,4,0,3,5
giesig,5,2,5,1,4,1,1,1
haiwor,5,3,85,4,4,1,3,5
hdersi,4,1,15,1,5,1,3,4
hoomel,5,3,80,4,5,1,3,5
huspul,3,2,60,3,5,1,3,1
iastam,2,1,40,2,5,1,5,4
ibulsi,1,1,15,1,5,1,3,2
ifilly,1,2,10,1,5,1,1,1
ifings,5,2,15,1,5,1,2,2
ilyste,3,2,25,2,5,1,2,2
inabbe,4,1,100,5,5,1,4,5
ineyes,1,2,110,5,5,1,3,2
ingest,3,1,105,5,5,1,3,3
ingspe,3,2,110,5,5,0,2,3
intsco,2,2,110,5,5,1,1,2
intsiv,1,3,85,4,5,1,4,4
ionsug,1,3,70,3,5,1,4,4
ippirs,3,3,50,3,5,1,2,3
iserin,5,2,40,2,5,1,1,3
ispecz,3,1,70,3,5,1,5,5
itacat,2,1,110,5,5,1,5,5
iumble,4,2,5,1,6,1,1,1
iverne,4,1,50,3,6,1,5,5
ivesse,5,3,15,1,6,1,3,3
ivioch,5,3,30,2,6,0,2,3
izessm,5,1,90,4,6,0,1,3
izookk,1,3,25,2,6,1,3,3
jurkin,4,3,85,4,6,1,1,3
karell,2,2,25,2,6,1,4,4
kaside,1,3,10,1,6,1,3,3
kernan,2,3,85,4,6,1,4,3
kidalv,1,2,50,3,6,1,4,2
kikeel,3,3,30,2,6,1,4,2
kknest,1,2,30,2,6,1,4,2
klingi,5,1,105,5,6,0,4,0
legmas,4,3,5,1,6,1,3,4
lently,1,2,15,1,6,1,4,2
lerros,1,1,90,4,6,1,4,4
