video_fname, participant, experiment, clip_t0_unix, t0_min, timebin, playlist, valid, annotator1, annotator2,,
Codes for participants: 1: Ayse 2: Buse 3: Esra 4: Gokhan 5: Merve,,,,,,,,,,,
Codes for experiments: 1: slide show 2: game (wisconsin card sorting) 3: video book,,,,,,,,,,,
Clip_t0 is the start time of the clip in unix time.  Tstart is the time from the beginning of the webcam video in min. the last two columns are not used. They can be called video_t0 unix and video_t0_human. They  are the start time of the webcam video in unix time and human readble ,,,,,,,,,,,
Codes for time bin in analysis: 1: 5 10 15 2: 25 30 40 3: 50 60 70 4: 80 85 90 5: 100 105 110,,,,,,,,,,,
Codes for video validity: 1: valid 0: invalid (talking eating etc),,,,,,,,,,,
Codes for annotators: Annotator1: Ayse Annotator2: Gokhan,,,,,,,,,,,
,,,,,,,,,,,
actase,5,3,1519350511,25,2,1,1,4,5,1519381411,2018/02/23-10:23:31
adesso,5,2,1519177538,90,4,1,1,3,3,1519204538,2018/02/21-09:15:38
agerma,2,1,1518065109,30,2,1,1,5,5,1518095709,2018/02/08-13:15:09
agoade,2,3,1519624696,105,5,1,1,2,2,1519650796,2018/02/26-13:13:16
aiderm,4,2,1519361151,25,2,1,1,1,1,1519392051,2018/02/23-13:20:51
aillyt,2,2,1518669897,30,2,1,1,4,4,1518700497,2018/02/15-13:14:57
alsint,5,1,1519089604,50,3,1,1,5,3,1519119004,2018/02/20-09:30:04
alvint,2,3,1519618996,10,1,1,1,3,1,1519650796,2018/02/26-13:13:16
amathy,1,3,1518483464,15,1,1,1,3,2,1518514964,2018/02/13-09:42:44
ancela,1,3,1518487964,90,4,1,1,3,2,1518514964,2018/02/13-09:42:44
anscro,2,1,1518063609,5,1,1,1,5,5,1518095709,2018/02/08-13:15:09
apassi,1,1,1517470311,100,5,1,1,2,2,1517496711,2018/02/01-14:51:51
aperie,4,1,1518654973,5,1,1,1,2,3,1518687073,2018/02/15-09:31:13
arinds,3,1,1518500405,50,3,1,1,4,3,1518529805,2018/02/13-13:50:05
aronso,3,2,1519106508,40,2,1,1,2,2,1519136508,2018/02/20-14:21:48
assssi,2,1,1518069609,105,5,1,0,5,5,1518095709,2018/02/08-13:15:09
ateezs,2,1,1518064809,25,2,1,1,4,3,1518095709,2018/02/08-13:15:09
aterro,1,3,1518484364,30,2,1,1,1,2,1518514964,2018/02/13-09:42:44
aterst,4,3,1519797671,105,5,1,1,1,3,1519823771,2018/02/28-13:16:11
atinsa,1,3,1518489164,110,5,2,1,3,4,1518514964,2018/02/13-09:42:44
ationt,3,2,1519110108,100,5,2,1,3,3,1519136508,2018/02/20-14:21:48
atruer,3,1,1518499205,30,2,2,1,5,5,1518529805,2018/02/13-13:50:05
attest,5,3,1519355011,100,5,2,1,4,4,1519381411,2018/02/23-10:23:31
avuoul,4,2,1519362651,50,3,2,1,1,1,1519392051,2018/02/23-13:20:51
bbarre,3,2,1519107108,50,3,2,1,2,2,1519136508,2018/02/20-14:21:48
bbysta,5,2,1519178738,110,5,2,1,3,3,1519204538,2018/02/21-09:15:38
blecot,4,1,1518655273,10,1,2,1,3,3,1518687073,2018/02/15-09:31:13
bleddi,4,2,1519364451,80,4,2,1,1,2,1519392051,2018/02/23-13:20:51
bleste,1,2,1517538975,80,4,2,1,2,3,1517566575,2018/02/02-10:16:15
bogoat,2,1,1518063909,10,1,2,1,5,4,1518095709,2018/02/08-13:15:09
bronai,2,2,1518670497,40,2,2,1,4,2,1518700497,2018/02/15-13:14:57
cesply,5,3,1519355311,105,5,2,1,1,2,1519381411,2018/02/23-10:23:31
chshel,5,3,1519355611,110,5,2,1,3,4,1519381411,2018/02/23-10:23:31
cingsh,4,2,1519363851,70,3,2,1,1,2,1519392051,2018/02/23-13:20:51
comyra,2,3,1519621996,60,3,2,1,3,3,1519650796,2018/02/26-13:13:16
contio,2,2,1518674397,105,5,2,1,4,4,1518700497,2018/02/15-13:14:57
ddross,4,1,1518659473,80,4,2,1,5,4,1518687073,2018/02/15-09:31:13
debate,1,2,1517535675,25,2,2,1,2,2,1517566575,2018/02/02-10:16:15
dedshm,2,1,1518069309,100,5,3,1,5,5,1518095709,2018/02/08-13:15:09
dentsl,4,2,1519366251,110,5,3,1,1,3,1519392051,2018/02/23-13:20:51
derepu,4,3,1519797371,100,5,3,1,2,4,1519823771,2018/02/28-13:16:11
derica,3,3,1519197199,110,5,3,1,2,3,1519222999,2018/02/21-14:23:19
determ,3,2,1519105008,15,1,3,1,1,1,1519136508,2018/02/20-14:21:48
diders,5,2,1519173938,30,2,3,1,1,3,1519204538,2018/02/21-09:15:38
distor,3,3,1519195399,80,4,3,1,1,3,1519222999,2018/02/21-14:23:19
eazera,3,1,1518503405,100,5,3,1,5,4,1518529805,2018/02/13-13:50:05
echrof,4,2,1519365951,105,5,3,1,1,3,1519392051,2018/02/23-13:20:51
eckenn,1,1,1517467911,60,3,3,1,1,2,1517496711,2018/02/01-14:51:51
eculab,1,3,1518485564,50,3,3,1,2,3,1518514964,2018/02/13-09:42:44
edrail,4,2,1519363251,60,3,3,1,1,3,1519392051,2018/02/23-13:20:51
